Day,Cause,id
13 nov 2024,HAZARD,1
13 nov 2024,ACCIDENT,1
14 nov 2024,ACCIDENT,1
14 nov 2024,HAZARD,6
15 nov 2024,HAZARD,12
16 nov 2024,HAZARD,11
16 nov 2024,ACCIDENT,1
19 nov 2024,ACCIDENT,3
19 nov 2024,HAZARD,7
20 nov 2024,HAZARD,5
21 nov 2024,HAZARD,11
22 nov 2024,ACCIDENT,5
22 nov 2024,HAZARD,1
23 nov 2024,HAZARD,5
23 nov 2024,ACCIDENT,4
24 nov 2024,ACCIDENT,2
25 nov 2024,HAZARD,6
25 nov 2024,ROAD_CLOSED,1
26 nov 2024,HAZARD,4
27 nov 2024,HAZARD,2
29 nov 2024,HAZARD,1
29 nov 2024,ACCIDENT,3
30 nov 2024,HAZARD,2
30 nov 2024,ACCIDENT,4
1 dic 2024,ACCIDENT,7
2 dic 2024,ACCIDENT,2
2 dic 2024,HAZARD,1
3 dic 2024,HAZARD,2
3 dic 2024,ACCIDENT,5
5 dic 2024,HAZARD,4
5 dic 2024,ACCIDENT,1
6 dic 2024,ACCIDENT,2
6 dic 2024,HAZARD,17
7 dic 2024,HAZARD,6
8 dic 2024,HAZARD,3
9 dic 2024,HAZARD,6
9 dic 2024,ACCIDENT,8
10 dic 2024,HAZARD,7
10 dic 2024,ACCIDENT,5
11 dic 2024,HAZARD,12
12 dic 2024,ACCIDENT,1
12 dic 2024,HAZARD,3
13 dic 2024,ACCIDENT,3
13 dic 2024,HAZARD,2
14 dic 2024,ACCIDENT,3
14 dic 2024,HAZARD,8
15 dic 2024,ACCIDENT,2
15 dic 2024,HAZARD,1
16 dic 2024,HAZARD,33
16 dic 2024,ACCIDENT,7
17 dic 2024,HAZARD,15
17 dic 2024,ACCIDENT,1
18 dic 2024,HAZARD,25
19 dic 2024,ACCIDENT,1
19 dic 2024,HAZARD,6
20 dic 2024,HAZARD,4
21 dic 2024,HAZARD,5
22 dic 2024,HAZARD,3
23 dic 2024,HAZARD,16
24 dic 2024,HAZARD,4
26 dic 2024,HAZARD,2
26 dic 2024,ACCIDENT,1
27 dic 2024,HAZARD,7
28 dic 2024,HAZARD,11
30 dic 2024,HAZARD,1
31 dic 2024,HAZARD,2
