,Date,Country,City,Street,Latitude,Longitude
40760,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.676077,-103.408115
40761,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.640498,-103.440015
40762,30 abr 2025,MX,Guadalajara,Av. Ignacio L. Vallarta,20.674667,-103.364322
40763,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.688843,-103.447049
40764,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.714924,-103.429768
40765,30 abr 2025,MX,Guadalajara,Av. Ignacio L. Vallarta,20.67446,-103.371605
40766,30 abr 2025,MX,Guadalajara,Av. Enrique Díaz de León Nte.,20.683489,-103.359187
40767,30 abr 2025,MX,Guadalajara,Av. Enrique Díaz de León Nte.,20.6846,-103.35915
40768,30 abr 2025,MX,Guadalajara,Av. Enrique Díaz de León Nte.,20.712159,-103.36027
40769,30 abr 2025,MX,Zapopan,Av. Copalita,20.766282,-103.439485
40770,30 abr 2025,MX,Guadalajara,Av. Enrique Díaz de León Sur,20.67619,-103.359418
40771,30 abr 2025,MX,Zapopan,Av. Enrique Ladrón de Guevara,20.635194,-103.426771
40772,30 abr 2025,MX,Zapopan,Av. Federalistas,20.752964,-103.399882
40773,30 abr 2025,MX,Guadalajara,Av. Ignacio L. Vallarta,20.674496,-103.386567
40774,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.710698,-103.438731
40775,30 abr 2025,MX,Zapopan,Av. Felipe Ruvalcaba / Guadalajara Centro,20.637917,-103.43877
40776,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.712478,-103.434895
40777,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.68628,-103.443773
40778,30 abr 2025,MX,Guadalajara,Av. Cristóbal Colón,20.649529,-103.367407
40779,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.677695,-103.415877
40780,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.676711,-103.411088
